contract,id,type,section,requirement,source_line
framework.md,AF-OWN-001,structural,Framework contract > Project/framework ownership boundary,Standard verification runners supplied by Agent Framework shall remain framework-owned and shall operate on the consuming project without requiring copied project-local runner forks.,5
framework.md,AF-OWN-002,behavioral,Framework contract > Project/framework ownership boundary,Project configuration shall complete its preflight before writing files and shall fail without modifying the consuming project when an existing path conflicts with the intended scaffold.,10
framework.md,AF-OWN-003,process,Framework contract > Project/framework ownership boundary,A normal consuming-project agent shall use the consuming project's root `AGENTS.md` as its onboarding entry point rather than the framework submodule's `AGENTS.md`.,15
framework.md,AF-CONT-001,structural,Framework contract > Container boundary,The framework base image shall contain the dependencies required to execute every standard framework verification runner.,22
framework.md,AF-CONT-002,structural,Framework contract > Container boundary,A consuming project's development image shall be built on top of the framework base image and may add project/package dependencies without reinstalling the framework toolchain.,26
framework.md,AF-BOOT-001,process,Framework contract > Bootstrap boundary,"Project bootstrap shall be executable on a Windows host with Git and Docker without requiring host Bash, WSL, host Python, or host Linux verification tools.",33
framework.md,AF-BOOT-002,process,Framework contract > Bootstrap boundary,"Bootstrap shall preserve unresolved product decisions when those decisions are not required to establish project identity, repository shape, or another bootstrap prerequisite.",38
framework.md,AF-BOOT-003,process,Framework contract > Bootstrap boundary,"The bootstrap agent shall finish with explicit process feedback for the framework author, including encountered friction or an explicit statement that no workflow issues were found.",43
framework.md,AF-BOOT-004,process,Framework contract > Bootstrap boundary,Bootstrap shall not strengthen a developer-supplied product goal into additional externally observable guarantees that have not already been settled.,48
framework.md,AF-BOOT-005,process,Framework contract > Bootstrap boundary,"Bootstrap shall seed the planning, contract, and evaluation document structure without creating product contracts, evaluation activities, roadmap commitments, or implementation milestones.",53
framework.md,AF-BOOT-006,behavioral,Framework contract > Bootstrap boundary,"Project configuration shall require a project name and initial intent and shall deterministically create the project metadata, `src/` package, minimal executable scaffold, import-and-call smoke test, root README, and architecture intent baseline from those inputs.",58
framework.md,AF-BOOT-007,behavioral,Framework contract > Bootstrap boundary,Project configuration shall reject a project name that cannot be normalized into a valid non-keyword Python import-package identifier using the documented ASCII naming rules.,64
framework.md,AF-BOOT-008,behavioral,Framework contract > Bootstrap boundary,"Project configuration shall support Python 3.12 and 3.14, default to Python 3.12, and use the selected version consistently in project metadata and the framework base image build.",69
framework.md,AF-BOOT-009,behavioral,Framework contract > Bootstrap boundary,Project configuration shall require `agent-framework/` to be an initialized Git submodule checked out at the parent repository's recorded commit while reporting local submodule modifications as a warning rather than a failure.,74
framework.md,AF-BOOT-010,behavioral,Framework contract > Bootstrap boundary,"Project configuration shall reject unexpected consuming-root entries, allow and warn about entries matched by the seeded `.gitignore`, and otherwise permit only `.git`, `.gitmodules`, and `agent-framework` before configuration.",80
framework.md,AF-TOOL-001,behavioral,Framework contract > Verification-tool behavior,The framework Black runner shall target the Python version configured by `project.python_version` rather than relying on Black's inferred future-version target.,88
framework.md,AF-TOOL-002,behavioral,Framework contract > Verification-tool behavior,The framework Ruff runner shall not report `EXE002` solely because Windows bind-mount semantics make Python files appear executable inside the Linux development container.,93
framework.md,AF-TOOL-003,behavioral,Framework contract > Verification-tool behavior,The AI sanitizer shall report possible direct milestone references found outside project planning documentation as advisory review findings without making those findings a verification failure.,98
framework.md,AF-TOOL-004,behavioral,Framework contract > Verification-tool behavior,The traceability generator shall accept an explicitly planned `automated-test` evaluation activity without current `@covers(...)` evidence and shall report that requirement as `PLANNED-AUTOMATED` rather than missing automated evidence.,103
framework.md,AF-DOC-001,structural,Framework contract > Documentation scaffold,Framework-seeded project documentation shall use ordinary repository-relative Markdown links for navigation rather than requiring Sphinx or MyST navigation metadata.,111
framework.md,AF-DOC-002,behavioral,Framework contract > Documentation scaffold,The framework documentation verification group shall lint project-owned Markdown and validate repository-local Markdown links without requiring network access.,116
framework.md,AF-SCAFF-001,structural,Framework contract > Documentation scaffold,Framework-seeded `tests/util/contract.py` shall be compatible with the framework's Ruff and Pyright verification policies without requiring a consuming-project-specific suppression or rewrite.,121
framework.md,AF-REPO-001,process,Framework contract > Framework repository verification,The Agent Framework repository shall provide a repository-only pre-commit gate that runs complete framework verification in the controlled Docker environment and shall not seed that hook into consuming projects.,128
